,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
175,Coconut Recipes,Coconut Shrimp I,https://www.allrecipes.com/recipe/17753/coconut-shrimp-i/,10 m,20 m,1 h,Original recipe yields 6 servings,317  cals,19.3 ,26.3,8.4 ,67 ,241 ,1 egg;1/2 cup all-purpose flour;2/3 cup beer;1 1/2 teaspoons baking powder;1/4 cup all-purpose flour;2 cups flaked coconut;24 shrimp;3 cups oil for frying,3
176,Coconut Recipes,Chewy Coconut Cookies,https://www.allrecipes.com/recipe/9589/chewy-coconut-cookies/,30 m,10 m,50 m,Original recipe yields 36 servings (3 dozen),75  cals,3.5 ,10.5,0.7 ,12 ,62 ,1 1/4 cups all-purpose flour;1/2 teaspoon baking soda;1/4 teaspoon salt;1/2 cup butter;1/2 cup packed brown sugar;1/2 cup white sugar;1 egg;1/2 teaspoon vanilla extract;1 1/3 cups flaked coconut,3
177,Coconut Recipes,Old Fashioned Coconut Cream Pie,https://www.allrecipes.com/recipe/12481/old-fashioned-coconut-cream-pie/,20 m,30 m,4 h 50 m,Original recipe yields 8 servings (1 9-inch pie),423  cals,23.5 ,46.1,6.8 ,80 ,276 ,"1 cup sweetened flaked coconut;3 cups half-and-half;2 eggs, beaten;3/4 cup white sugar;1/2 cup all-purpose flour;1/4 teaspoon salt;1 teaspoon vanilla extract;1 (9 inch) pie shell, baked;1 cup frozen whipped topping, thawed",5
178,Coconut Recipes,Coconut Macaroons III,https://www.allrecipes.com/recipe/25787/coconut-macaroons-iii/,10 m,25 m,,Original recipe yields 12 servings (1 dozen),287  cals,12.4 ,40.7,4.4 ,11 ,187 ,2/3 cup all-purpose flour;5 1/2 cups flaked coconut;1/4 teaspoon salt;1 (14 ounce) can sweetened condensed milk;2 teaspoons vanilla extract,3
179,Coconut Recipes,The Best Thai Coconut Soup,https://www.allrecipes.com/recipe/146035/the-best-thai-coconut-soup/,35 m,30 m,1 h 5 m,Original recipe yields 8 servings,368  cals,32.9 ,8.9,13.2 ,86 ,579 ,"1 tablespoon vegetable oil;2 tablespoons grated fresh ginger;1 stalk lemon grass, minced;2 teaspoons red curry paste;4 cups chicken broth;3 tablespoons fish sauce;1 tablespoon light brown sugar;3 (13.5 ounce) cans coconut milk;1/2 pound fresh shiitake mushrooms, sliced;1 pound medium shrimp - peeled and deveined;2 tablespoons fresh lime juice;salt to taste;1/4 cup chopped fresh cilantro",1
180,Coconut Recipes,Coconut Poke Cake,https://www.allrecipes.com/recipe/7994/coconut-poke-cake/,30 m,1 h,2 h,Original recipe yields 24 servings (1 - 9x13 inch cake),304  cals,13.8 ,43.4,3 ,6 ,200 ,"1 (18.25 ounce) package white cake mix;1 (14 ounce) can cream of coconut;1 (14 ounce) can sweetened condensed milk;1 (16 ounce) package frozen whipped topping, thawed;1 (8 ounce) package flaked coconut",2
181,Coconut Recipes,German Chocolate Cake III,https://www.allrecipes.com/recipe/17644/german-chocolate-cake-iii/,30 m,30 m,1 h,Original recipe yields 12 servings (1 - 3 layer 9 inch cake),735  cals,40.6 ,88.3,9.1 ,187 ,458 ,"1/2 cup water;4 (1 ounce) squares German sweet chocolate;1 cup butter, softened;2 cups white sugar;4 egg yolks;1 teaspoon vanilla extract;1 cup buttermilk;2 1/2 cups cake flour;1 teaspoon baking soda;1/2 teaspoon salt;4 egg whites;1 cup white sugar;1 cup evaporated milk;1/2 cup butter;3 egg yolks, beaten;1 1/3 cups flaked coconut;1 cup chopped pecans;1 teaspoon vanilla extract;1/2 teaspoon shortening;1 (1 ounce) square semisweet chocolate",6
182,Coconut Recipes,Easy Granola Bars,https://www.allrecipes.com/recipe/25794/easy-granola-bars/,5 m,20 m,35 m,Original recipe yields 24 servings (1 - 9x13 inch pan),179  cals,8.1 ,24.8,3.9 ,8 ,38 ,"3 cups quick-cooking oats;1 (14 ounce) can sweetened condensed milk;2 tablespoons butter, melted;1 cup flaked coconut;1 cup sliced almonds;1 cup miniature semisweet chocolate chips;1/2 cup sweetened dried cranberries",3
183,Coconut Recipes,Magic Cookie Bars from EAGLE BRAND®,https://www.allrecipes.com/recipe/63959/magic-cookie-bars-from-eagle-brand/,,,,Original recipe yields 36 servings (36 bars),167  cals,9.8 ,13.9,1.7 ,11 ,64 ,"1/2 cup butter or margarine, melted;1 1/2 cups graham cracker crumbs;1 (14 ounce) can EAGLE BRAND® Sweetened Condensed Milk;2 cups semisweet chocolate morsels;1 1/3 cups flaked coconut;1 cup chopped nuts",3
184,Coconut Recipes,Coconut Curry Tofu,https://www.allrecipes.com/recipe/45688/coconut-curry-tofu/,25 m,15 m,40 m,Original recipe yields 6 servings,232  cals,13.2 ,16.9,16.5 ,0 ,680 ,"2 bunches green onions;1 (14 ounce) can light coconut milk;1/4 cup soy sauce, divided;1/2 teaspoon brown sugar;1 1/2 teaspoons curry powder;1 teaspoon minced fresh ginger;2 teaspoons chile paste;1 pound firm tofu, cut into 3/4 inch cubes;4 roma (plum) tomatoes, chopped;1 yellow bell pepper, thinly sliced;4 ounces fresh mushrooms, chopped;1/4 cup chopped fresh basil;4 cups chopped bok choy;salt to taste",3
185,Coconut Recipes,Asian Coconut Rice,https://www.allrecipes.com/recipe/56059/asian-coconut-rice/,5 m,20 m,25 m,Original recipe yields 4 servings,453  cals,20.9 ,61.4,6.8 ,0 ,54 ,1 (14 ounce) can coconut milk;1 1/4 cups water;1 teaspoon sugar;1 pinch salt;1 1/2 cups uncooked jasmine rice,1
186,Coconut Recipes,Baked Coconut Shrimp,https://www.allrecipes.com/recipe/215014/baked-coconut-shrimp/,15 m,15 m,30 m,Original recipe yields 4 servings,310  cals,11.4 ,29.3,22.5 ,173 ,928 ,"1 pound large shrimp, peeled and deveined;1/3 cup cornstarch;1 teaspoon salt;3/4 teaspoon cayenne pepper;2 cups flaked sweetened coconut;3 egg whites, beaten until foamy",3
