,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Breakfast Potatoes,German Potato Pancakes,https://www.allrecipes.com/recipe/33118/german-potato-pancakes/,25 m,6 m,45 m,Original recipe yields 6 servings,283  cals,11 ,40.7,6.8 ,62 ,246 ,"2 eggs;2 tablespoons all-purpose flour;1/4 teaspoon baking powder;1/2 teaspoon salt;1/4 teaspoon pepper;6 medium potatoes, peeled and shredded;1/2 cup finely chopped onion;1/4 cup vegetable oil",2
1,Breakfast Potatoes,Quick and Easy Home Fries,https://www.allrecipes.com/recipe/71803/quick-and-easy-home-fries/,5 m,20 m,25 m,Original recipe yields 4 servings,199  cals,8.8 ,27.9,3.3 ,23 ,71 ,"3 medium russet potatoes, cubed;3 tablespoons butter or margarine;salt and pepper to taste",1
2,Breakfast Potatoes,Grandma's Hash Browns,https://www.allrecipes.com/recipe/21015/grandmas-hash-browns/,25 m,1 h,13 h 20 m,Original recipe yields 8 servings,337  cals,6.1 ,66.6,5.8 ,15 ,930 ,"8 large russet potatoes, peeled;4 tablespoons butter;1 tablespoon salt;1 teaspoon ground black pepper",2
3,Breakfast Potatoes,Bacon Potato Pancakes,https://www.allrecipes.com/recipe/220613/bacon-potato-pancakes/,20 m,25 m,45 m,Original recipe yields 6 servings,257  cals,12.1 ,29.8,7.8 ,75 ,188 ,"4 slices bacon;4 Idaho potatoes, peeled and shredded;1/4 cup all-purpose flour;2 eggs;4 garlic cloves, minced;1 tablespoon chopped fresh thyme;salt and ground black pepper to taste;vegetable oil for frying, or as needed",4
4,Breakfast Potatoes,Deluxe Corned Beef Hash,https://www.allrecipes.com/recipe/216981/deluxe-corned-beef-hash/,30 m,40 m,1 h 10 m,Original recipe yields 8 servings,320  cals,14.1 ,24.6,24.7 ,81 ,1559 ,"2 tablespoons butter;2 tablespoons extra-virgin olive oil;1 large onion, chopped;5 large Yukon Gold potatoes, peeled and cut into 1/4-inch cubes;1 large carrot, coarsely shredded;2 pounds cooked corned beef, cubed;2 tablespoons chopped fresh parsley;1/4 teaspoon dried thyme leaves;salt to taste (optional);1/2 teaspoon ground black pepper, or to taste",1
5,Breakfast Potatoes,Steve's Famous Garlic Home Fries,https://www.allrecipes.com/recipe/147539/steves-famous-garlic-home-fries/,15 m,30 m,45 m,Original recipe yields 8 servings,139  cals,5.9 ,20,2.4 ,15 ,120 ,"1/4 cup butter or margarine;4 (8 ounce) russet potatoes, quartered and sliced;1 clove garlic, minced;1/4 teaspoon paprika;1/4 teaspoon salt;1/4 teaspoon ground black pepper;2 teaspoons chopped fresh chives",2
6,Breakfast Potatoes,Classic Hash Browns,https://www.allrecipes.com/recipe/220520/classic-hash-browns/,10 m,10 m,20 m,Original recipe yields 2 servings,334  cals,19.4 ,37.5,4.4 ,49 ,13 ,"2 russet potatoes, peeled;3 tablespoons clarified butter;salt and ground black pepper to taste;1 pinch cayenne pepper, or to taste;1 pinch paprika, or to taste",3
7,Breakfast Potatoes,Homefried Potatoes with Garlic and Bacon,https://www.allrecipes.com/recipe/86575/homefried-potatoes-with-garlic-and-bacon/,10 m,25 m,35 m,Original recipe yields 4 servings,314  cals,22.2 ,20.5,8 ,33 ,761 ,"7 slices bacon;2 russet potatoes, quartered and thinly sliced;1 tablespoon garlic pepper seasoning;1/2 yellow onion, sliced",1
8,Breakfast Potatoes,Emily's Famous Hash Browns,https://www.allrecipes.com/recipe/57783/emilys-famous-hash-browns/,20 m,15 m,35 m,Original recipe yields 4 servings,183  cals,6.9 ,26.1,4.7 ,46 ,24 ,"2 medium russet potatoes, shredded;1/2 medium onion, finely chopped;1/4 cup all-purpose flour;1 egg;1 cup oil for frying, or as needed;salt and pepper to taste",3
9,Breakfast Potatoes,Cheesy Ham and Hash Brown Casserole,https://www.allrecipes.com/recipe/20096/cheesy-ham-and-hash-brown-casserole/,15 m,1 h,1 h 15 m,Original recipe yields 12 servings,415  cals,27.2 ,29.7,14.4 ,53 ,761 ,"1 (32 ounce) package frozen hash brown potatoes;8 ounces cooked, diced ham;2 (10.75 ounce) cans condensed cream of potato soup;1 (16 ounce) container sour cream;2 cups shredded sharp Cheddar cheese;1 1/2 cups grated Parmesan cheese",3
10,Breakfast Potatoes,Sausage Casserole,https://www.allrecipes.com/recipe/24532/sausage-casserole/,25 m,1 h 15 m,1 h 45 m,Original recipe yields 12 servings,355  cals,26.3 ,7.9,21.6 ,188 ,755 ,"1 pound sage flavored breakfast sausage;3 cups shredded potatoes, drained and pressed;1/4 cup butter, melted;12 ounces mild Cheddar cheese, shredded;1/2 cup onion, shredded;1 (16 ounce) container small curd cottage cheese;6 jumbo eggs",4
11,Breakfast Potatoes,Cheesy Amish Breakfast Casserole,https://www.allrecipes.com/recipe/229150/cheesy-amish-breakfast-casserole/,10 m,55 m,1 h 15 m,Original recipe yields 12 servings (1 9x13-inch casserole),314  cals,22.8 ,12.1,21.7 ,188 ,609 ,"1 pound sliced bacon, diced;1 sweet onion, chopped;4 cups frozen shredded hash brown potatoes, thawed;9 eggs, lightly beaten;2 cups shredded Cheddar cheese;1 1/2 cups small curd cottage cheese;1 1/4 cups shredded Swiss cheese",3
12,Breakfast Potatoes,Hash Brown and Egg Casserole,https://www.allrecipes.com/recipe/87013/hash-brown-and-egg-casserole/,15 m,1 h 20 m,1 h 40 m,Original recipe yields 6 servings (1  - 8x8 inch casserole),616  cals,48.9 ,30.4,33.5 ,259 ,1142 ,"1 (2 pound) package frozen hash brown potatoes, thawed;1 pound pork sausage;1 small onion, diced;5 eggs;1/2 cup milk;1/2 teaspoon onion powder;1/8 teaspoon garlic powder;salt and ground black pepper to taste;12 ounces shredded Cheddar cheese",3
13,Breakfast Potatoes,Spinach and Potato Frittata,https://www.allrecipes.com/recipe/47044/spinach-and-potato-frittata/,10 m,20 m,30 m,Original recipe yields 6 servings,281  cals,13.1 ,28.7,12.5 ,197 ,175 ,"2 tablespoons olive oil;6 small red potatoes, sliced;1 cup torn fresh spinach;2 tablespoons sliced green onions;1 teaspoon crushed garlic;salt and pepper to taste;6 eggs;1/3 cup milk;1/2 cup shredded Cheddar cheese",2
14,Breakfast Potatoes,Easter Breakfast Casserole,https://www.allrecipes.com/recipe/20900/easter-breakfast-casserole/,25 m,1 h 15 m,1 h 40 m,Original recipe yields 12 servings,281  cals,21 ,9.9,18 ,171 ,538 ,"1 pound bacon;1/4 cup diced onion;1/4 cup diced green bell pepper;3 cups shredded Cheddar cheese;8 eggs;2 cups milk;1 (16 ounce) package frozen hash brown potatoes, thawed",4
15,Breakfast Potatoes,Easy Spicy Roasted Potatoes,https://www.allrecipes.com/recipe/88758/easy-spicy-roasted-potatoes/,15 m,40 m,55 m,Original recipe yields 4 servings,473  cals,26.1 ,47.6,14.4 ,36 ,1685 ,"5 medium red potatoes, diced with peel;1 medium onion, chopped;1 tablespoon garlic powder;1 tablespoon kosher salt;2 teaspoons chili powder;1/4 cup extra virgin olive oil;1 cup shredded Cheddar cheese (optional)",3
16,Breakfast Potatoes,Christmas Brunch Casserole,https://www.allrecipes.com/recipe/15047/christmas-brunch-casserole/,40 m,1 h,1 d 1 h 40 m,Original recipe yields 5 servings (4 to 6 servings),494  cals,28.6 ,31.9,28.1 ,217 ,1518 ,"1 pound bacon;2 onions, chopped;2 cups fresh sliced mushrooms;1 tablespoon butter;4 cups frozen hash brown potatoes, thawed;1 teaspoon salt;1/4 teaspoon garlic salt;1/2 teaspoon ground black pepper;4 eggs;1 1/2 cups milk;1 pinch dried parsley;1 cup shredded Cheddar cheese",5
17,Breakfast Potatoes,Louisiana Sweet Potato Pancakes,https://www.allrecipes.com/recipe/36168/louisiana-sweet-potato-pancakes/,10 m,15 m,45 m,Original recipe yields 8 servings (24 pancakes),215  cals,8.2 ,29.2,6.2 ,65 ,549 ,"3/4 pound sweet potatoes;1 1/2 cups all-purpose flour;3 1/2 teaspoons baking powder;1 teaspoon salt;1/2 teaspoon ground nutmeg;2 eggs, beaten;1 1/2 cups milk;1/4 cup butter, melted",3
18,Breakfast Potatoes,Amazing Muffin Cups,https://www.allrecipes.com/recipe/231510/amazing-muffin-cups/,20 m,30 m,50 m,Original recipe yields 12 servings,224  cals,18.3 ,8.7,11.2 ,114 ,413 ,"12 links Johnsonville® Original breakfast sausage;3 cups frozen country style shredded hash brown potatoes, thawed;3 tablespoons butter, melted;1/8 teaspoon salt;1/8 teaspoon pepper;6 eggs, lightly beaten;2 cups shredded 4-cheese Mexican blend cheese;1/4 cup chopped red bell pepper;chopped fresh chives or green onion",4
19,Breakfast Potatoes,Tater Tot Casserole I,https://www.allrecipes.com/recipe/23912/tater-tot-casserole-i/,20 m,35 m,55 m,Original recipe yields 10 servings (8 to 12 servings),475  cals,36.4 ,25.8,16 ,96 ,845 ,1 pound ground pork breakfast sausage;2 cups shredded Cheddar cheese;2 cups milk;2 eggs;2 pounds tater tots,4
20,Breakfast Potatoes,Potato Skillet,https://www.allrecipes.com/recipe/24156/potato-skillet/,10 m,30 m,40 m,Original recipe yields 2 servings,485  cals,37.4 ,16,20.8 ,332 ,837 ,"4 slices bacon;2 peeled and diced potatoes;1/8 teaspoon garlic salt;1/8 teaspoon seasoning salt;1/8 teaspoon black pepper;3 eggs, beaten;1/4 cup shredded Cheddar cheese",3
21,Breakfast Potatoes,Home-Fried Potatoes,https://www.allrecipes.com/recipe/20462/home-fried-potatoes/,20 m,25 m,45 m,Original recipe yields 4 servings,262  cals,10.6 ,38.3,4.7 ,0 ,602 ,"4 red potatoes;1 tablespoon olive oil;1 onion, chopped;1 green bell pepper, seeded and chopped;2 tablespoons olive oil;1 teaspoon salt;3/4 teaspoon paprika;1/4 teaspoon ground black pepper;1/4 cup chopped fresh parsley",3
22,Breakfast Potatoes,Country Style Fried Potatoes,https://www.allrecipes.com/recipe/20749/country-style-fried-potatoes/,10 m,15 m,25 m,Original recipe yields 6 servings,326  cals,11.7 ,52.1,4.8 ,0 ,400 ,"1/3 cup shortening;6 large potatoes, peeled and cubed;1 teaspoon salt;1/2 teaspoon ground black pepper;1/2 teaspoon garlic powder;1/2 teaspoon paprika",1
23,Breakfast Potatoes,Kielbasa and Potato Bake,https://www.allrecipes.com/recipe/21314/kielbasa-and-potato-bake/,15 m,1 h 30 m,1 h 45 m,Original recipe yields 8 servings,352  cals,19.1 ,33.3,12 ,42 ,1364 ,"1 (10.75 ounce) can condensed cream of mushroom soup;2 cups milk;1 tablespoon minced garlic;1 teaspoon salt;1/2 teaspoon ground black pepper;1 pound kielbasa sausage, sliced thin;4 large russet potatoes, peeled and cubed",3
24,Breakfast Potatoes,Broccoli Quiche with Mashed Potato Crust,https://www.allrecipes.com/recipe/21329/broccoli-quiche-with-mashed-potato-crust/,,,,,,,,,,,,0
25,Breakfast Potatoes,Ultimate Breakfast Casserole,https://www.allrecipes.com/recipe/21857/ultimate-breakfast-casserole/,15 m,45 m,1 h,Original recipe yields 8 servings,444  cals,37.1 ,26.7,16.7 ,143 ,922 ,"3 eggs, beaten;1 pinch ground black pepper;1 (10.75 ounce) can condensed cream of chicken soup;16 ounces sour cream;1 (2 pound) package frozen hash brown potatoes, thawed;2 cups cooked ham, cubed;1 onion, chopped;3/4 cup shredded Cheddar cheese;1/4 cup butter, melted",3
26,Mashed Potatoes,Addictive Mashed Potatoes,https://www.allrecipes.com/recipe/86359/addictive-mashed-potatoes/,,,,,,,,,,,,0
27,Mashed Potatoes,Basic Mashed Potatoes,https://www.allrecipes.com/recipe/24771/basic-mashed-potatoes/,15 m,20 m,35 m,Original recipe yields 4 servings,257  cals,7.2 ,43.7,5.6 ,20 ,76 ,"2 pounds baking potatoes, peeled and quartered;2 tablespoons butter;1 cup milk;salt and pepper to taste",2
28,Mashed Potatoes,Bacon Clapshot,https://www.allrecipes.com/recipe/106456/bacon-clapshot/,,,,,,,,,,,,0
29,Mashed Potatoes,Instant Pot® Leek Mashed Potatoes,https://www.allrecipes.com/recipe/267894/instant-pot-leek-mashed-potatoes/,15 m,25 m,55 m,Original recipe yields 4 servings,162  cals,6.3 ,23.9,3.4 ,17 ,343 ,"1 pound potatoes, peeled and cut into 1-inch cubes;1 leek, white parts only, quartered lengthwise and finely sliced;1/2 teaspoon coarse salt;water to cover;1/3 cup milk, warmed;2 tablespoons butter;salt to taste",3
