,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
203,Cobbler,Old Fashioned Peach Cobbler,https://www.allrecipes.com/recipe/19897/old-fashioned-peach-cobbler/,30 m,1 h 10 m,2 h 10 m,Original recipe yields 18 servings,338  cals,17.6 ,43.7,2.3 ,26 ,177 ,"2 1/2 cups all-purpose flour;3 tablespoons white sugar;1 teaspoon salt;1 cup shortening;1 egg;1/4 cup cold water;3 pounds fresh peaches - peeled, pitted, and sliced;1/4 cup lemon juice;3/4 cup orange juice;1/2 cup butter;2 cups white sugar;1/2 teaspoon ground nutmeg;1 teaspoon ground cinnamon;1 tablespoon cornstarch;1 tablespoon white sugar;1 tablespoon butter, melted",5
204,Cobbler,Yummy Blueberry Cobbler,https://www.allrecipes.com/recipe/72469/yummy-blueberry-cobbler/,10 m,45 m,55 m,Original recipe yields 8 servings,449  cals,7.7 ,94.8,3.7 ,19 ,342 ,"3 cups fresh blueberries;1/2 lemon;1 1/8 cups white sugar;4 1/2 tablespoons butter, softened;1 1/2 cups all-purpose flour;1 1/2 teaspoons baking powder;3/4 cup whole milk;1 1/2 cups white sugar;3/4 teaspoon salt;1 1/2 tablespoons cornstarch;1 pinch ground cinnamon;3/4 cup boiling water",4
205,Cobbler,Coconut-Apple Cobbler,https://www.allrecipes.com/recipe/143761/coconut-apple-cobbler/,25 m,30 m,55 m,Original recipe yields 7 servings (1 large baking dish),312  cals,11 ,52.7,3.6 ,9 ,527 ,"4 Granny Smith apples - peeled, cored and sliced;1/2 cup caramel ice cream topping;1 tablespoon all-purpose flour;1 (10 ounce) can refrigerated flaky biscuit dough;2 tablespoons butter;3 tablespoons white sugar;3/4 cup sweetened flaked coconut",3
206,Cobbler,Fresh Southern Peach Cobbler,https://www.allrecipes.com/recipe/51535/fresh-southern-peach-cobbler/,20 m,40 m,1 h,Original recipe yields 4 servings,562  cals,17.6 ,99.4,3.5 ,46 ,400 ,"8 fresh peaches - peeled, pitted and sliced into thin wedges;1/4 cup white sugar;1/4 cup brown sugar;1/4 teaspoon ground cinnamon;1/8 teaspoon ground nutmeg;1 teaspoon fresh lemon juice;2 teaspoons cornstarch;1 cup all-purpose flour;1/4 cup white sugar;1/4 cup brown sugar;1 teaspoon baking powder;1/2 teaspoon salt;6 tablespoons unsalted butter, chilled and cut into small pieces;1/4 cup boiling water;MIX TOGETHER:;3 tablespoons white sugar;1 teaspoon ground cinnamon",4
207,Cobbler,Easy Batter Fruit Cobbler,https://www.allrecipes.com/recipe/88354/easy-batter-fruit-cobbler/,,,,Original recipe yields 4 servings,384  cals,12.6 ,64.9,4.1 ,34 ,371 ,"4 tablespoons butter;3/4 cup all-purpose flour;3/4 cup sugar;1 teaspoon baking powder;1/4 teaspoon salt;3/4 cup milk;2 cups of sliced fresh peaches or nectarines, or whole blueberries, strawberries, raspberries, blackberries or a combination of fruits (or a 12-ounce package of frozen berries);1 tablespoon sugar",4
208,Cobbler,Best Ever Blueberry Cobbler,https://www.allrecipes.com/recipe/15373/best-ever-blueberry-cobbler/,20 m,40 m,1 h,Original recipe yields 6 servings,335  cals,16.6 ,45.6,3.3 ,72 ,142 ,"3 cups fresh blueberries;3 tablespoons white sugar;1/3 cup orange juice;2/3 cup all-purpose flour;1/4 teaspoon baking powder;1 pinch salt;1/2 cup butter, softened;1/2 cup white sugar;1 egg;1/2 teaspoon vanilla extract",4
209,Cobbler,Peach Cobbler VI,https://www.allrecipes.com/recipe/18469/peach-cobbler-vi/,15 m,30 m,45 m,Original recipe yields 8 servings (1 9x9-inch cobbler),299  cals,11.9 ,46.8,3.2 ,2 ,383 ,"1 cup all-purpose flour;1/2 cup brown sugar;1/2 cup white sugar;2 teaspoons baking powder;1/2 teaspoon salt;1 teaspoon vanilla extract;3/4 cup milk;1/2 cup margarine, melted;1 (29 ounce) can sliced canned peaches, drained;1 teaspoon ground cinnamon",3
210,Cobbler,Easy Fruit Cobbler,https://www.allrecipes.com/recipe/12148/easy-fruit-cobbler/,15 m,1 h,1 h 15 m,Original recipe yields 8 servings (1 - 9 inch cobbler),200  cals,6.4 ,34,2.4 ,17 ,174 ,1 cup all-purpose flour;2 teaspoons baking powder;3/4 cup white sugar;3/4 cup milk;1/4 cup butter;2 cups sliced fresh peaches,3
211,Cobbler,Chocolate Cobbler,https://www.allrecipes.com/recipe/69656/chocolate-cobbler/,15 m,30 m,45 m,Original recipe yields 8 servings,319  cals,9.6 ,58.1,2.9 ,24 ,268 ,6 tablespoons butter;1 cup self-rising flour;3/4 cup white sugar;1 1/2 tablespoons unsweetened cocoa powder;1/2 cup milk;1 teaspoon vanilla extract;1 cup white sugar;1/4 cup unsweetened cocoa powder;1 1/2 cups boiling water,4
212,Cobbler,Apple Pecan Cobbler,https://www.allrecipes.com/recipe/15138/apple-pecan-cobbler/,30 m,55 m,1 h 25 m,Original recipe yields 8 servings,404  cals,17.1 ,61.4,4.7 ,48 ,214 ,"4 cups thinly sliced apples;1/2 cup white sugar;1/2 teaspoon ground cinnamon;1/2 cup chopped pecans;1 cup all-purpose flour;1 cup white sugar;1 teaspoon baking powder;1/4 teaspoon salt;1 egg, beaten;1/2 cup evaporated milk;1/3 cup butter, melted;1/4 cup chopped pecans",4
213,Cobbler,Blackberry Cobbler,https://www.allrecipes.com/recipe/17933/blackberry-cobbler/,10 m,1 h 20 m,1 h 30 m,Original recipe yields 11 servings (1 - 9x13 inch cobbler),337  cals,9.7 ,59.7,4.4 ,26 ,367 ,1/2 cup butter;2 cups self-rising flour;2 cups white sugar;2 cups milk;3 1/2 cups blackberries,3
214,Cobbler,Peach Cobbler II,https://www.allrecipes.com/recipe/22993/peach-cobbler-ii/,20 m,45 m,1 h 10 m,Original recipe yields 6 servings (1 10x10-inch dish),672  cals,24 ,112.7,4.7 ,19 ,376 ,"3 fresh peaches - peeled, pitted, and sliced;1 teaspoon ground cinnamon;1 1/2 cups white sugar;1/2 cup shortening;1 cup white sugar;1 1/2 cups all-purpose flour;2 teaspoons baking powder;1/2 teaspoon salt;1 cup milk;2 cups boiling water;3 tablespoons butter",4
215,Cobbler,Very Best Blueberry Cobbler!,https://www.allrecipes.com/recipe/87170/very-best-blueberry-cobbler/,15 m,25 m,50 m,Original recipe yields 6 servings,478  cals,12.9 ,87.7,5.8 ,34 ,340 ,"2 1/2 cups fresh or frozen blueberries;1 teaspoon vanilla extract;1/2 lemon, juiced;1 cup white sugar, or to taste;1/2 teaspoon all-purpose flour;1 tablespoon butter, melted;1 3/4 cups all-purpose flour;4 teaspoons baking powder;6 tablespoons white sugar;5 tablespoons butter;1 cup milk;2 teaspoons sugar;1 pinch ground cinnamon",4
