,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
37,Pasta Main Dishes,Baked Ziti I,https://www.allrecipes.com/recipe/11758/baked-ziti-i/,20 m,35 m,55 m,Original recipe yields 10 servings,578  cals,25.3 ,58.4,27.9 ,71 ,914 ,"1 pound dry ziti pasta;1 onion, chopped;1 pound lean ground beef;2 (26 ounce) jars spaghetti sauce;6 ounces provolone cheese, sliced;1 1/2 cups sour cream;6 ounces mozzarella cheese, shredded;2 tablespoons grated Parmesan cheese",4
38,Pasta Main Dishes,Slow Cooker Chicken Stroganoff,https://www.allrecipes.com/recipe/17227/slow-cooker-chicken-stroganoff/,,,,,,,,,,,,0
39,Pasta Main Dishes,Slow Cooker Beef Stroganoff I,https://www.allrecipes.com/recipe/16352/slow-cooker-beef-stroganoff-i/,10 m,8 h,8 h 10 m,Original recipe yields 4 servings,376  cals,27.3 ,9.5,22 ,97 ,711 ,1 pound cubed beef stew meat;1 (10.75 ounce) can condensed golden mushroom soup;1/2 cup chopped onion;1 tablespoon Worcestershire sauce;1/4 cup water;4 ounces cream cheese,2
40,Pasta Main Dishes,"Bow Ties with Sausage, Tomatoes and Cream",https://www.allrecipes.com/recipe/26257/bow-ties-with-sausage-tomatoes-and-cream/,15 m,30 m,45 m,Original recipe yields 6 servings,656  cals,42.1 ,50.9,20.1 ,111 ,1088 ,"1 (12 ounce) package bow tie pasta;2 tablespoons olive oil;1 pound sweet Italian sausage, casings removed and crumbled;1/2 teaspoon red pepper flakes;1/2 cup diced onion;3 cloves garlic, minced;1 (28 ounce) can Italian-style plum tomatoes, drained and coarsely chopped;1 1/2 cups heavy cream;1/2 teaspoon salt;3 tablespoons minced fresh parsley",3
41,Pasta Main Dishes,Chuck's Favorite Mac and Cheese,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,10 m,45 m,55 m,Original recipe yields 6 servings,591  cals,33.3 ,45.5,26.8 ,88 ,720 ,"1 (8 ounce) package elbow macaroni;1 (8 ounce) package shredded sharp Cheddar cheese;1 (12 ounce) container small curd cottage cheese;1 (8 ounce) container sour cream;1/4 cup grated Parmesan cheese;salt and pepper to taste;1 cup dry bread crumbs;1/4 cup butter, melted",3
42,Pasta Main Dishes,Beef Stroganoff III,https://www.allrecipes.com/recipe/25202/beef-stroganoff-iii/,30 m,1 h,1 h 40 m,Original recipe yields 8 servings (6 to 8 servings),304  cals,23 ,5.7,16.6 ,83 ,619 ,"2 pounds beef chuck roast;1/2 teaspoon salt;1/2 teaspoon ground black pepper;4 ounces butter;4 green onions, sliced (white parts only);4 tablespoons all-purpose flour;1 (10.5 ounce) can condensed beef broth;1 teaspoon prepared mustard;1 (6 ounce) can sliced mushrooms, drained;1/3 cup sour cream;1/3 cup white wine;salt to taste;ground black pepper to taste",4
43,Pasta Main Dishes,Chicken Milano,https://www.allrecipes.com/recipe/19304/chicken-milano/,,,,,,,,,,,,0
44,Pasta Main Dishes,American Lasagna,https://www.allrecipes.com/recipe/11729/american-lasagna/,30 m,1 h 15 m,1 h 55 m,Original recipe yields 8 servings,664  cals,29.5 ,48.3,50.9 ,168 ,1900 ,"1 1/2 pounds lean ground beef;1 onion, chopped;2 cloves garlic, minced;1 tablespoon chopped fresh basil;1 teaspoon dried oregano;2 tablespoons brown sugar;1 1/2 teaspoons salt;1 (29 ounce) can diced tomatoes;2 (6 ounce) cans tomato paste;12 dry lasagna noodles;2 eggs, beaten;1 pint part-skim ricotta cheese;1/2 cup grated Parmesan cheese;2 tablespoons dried parsley;1 teaspoon salt;1 pound mozzarella cheese, shredded;2 tablespoons grated Parmesan cheese",5
45,Pasta Main Dishes,Cajun Chicken Pasta,https://www.allrecipes.com/recipe/8778/cajun-chicken-pasta/,,,,,,,,,,,,0
46,Pasta Main Dishes,White Cheese Chicken Lasagna,https://www.allrecipes.com/recipe/8758/white-cheese-chicken-lasagna/,,,,,,,,,,,,0
47,Pasta Main Dishes,Homemade Mac and Cheese,https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/,20 m,30 m,50 m,Original recipe yields 4 servings,858  cals,48.7 ,66.7,37.7 ,142 ,879 ,8 ounces uncooked elbow macaroni;2 cups shredded sharp Cheddar cheese;1/2 cup grated Parmesan cheese;3 cups milk;1/4 cup butter;2 1/2 tablespoons all-purpose flour;2 tablespoons butter;1/2 cup bread crumbs;1 pinch paprika,4
48,Pasta Main Dishes,Spinach Tomato Tortellini,https://www.allrecipes.com/recipe/76129/spinach-tomato-tortellini/,20 m,20 m,40 m,Original recipe yields 6 servings,400  cals,19.7 ,43.9,14.8 ,79 ,885 ,1 (16 ounce) package cheese tortellini;1 (14.5 ounce) can diced tomatoes with garlic and onion;1 cup chopped fresh spinach;1/2 teaspoon salt;1/4 teaspoon pepper;1 1/2 teaspoons dried basil;1 teaspoon minced garlic;2 tablespoons all-purpose flour;3/4 cup milk;3/4 cup heavy cream;1/4 cup grated Parmesan cheese,4
49,Pasta Main Dishes,Peppered Shrimp Alfredo,https://www.allrecipes.com/recipe/133128/peppered-shrimp-alfredo/,30 m,20 m,50 m,Original recipe yields 6 servings,707  cals,45 ,50.6,28.4 ,201 ,1034 ,"12 ounces penne pasta;1/4 cup butter;2 tablespoons extra-virgin olive oil;1 onion, diced;2 cloves garlic, minced;1 red bell pepper, diced;1/2 pound portobello mushrooms, diced;1 pound medium shrimp, peeled and deveined;1 (15 ounce) jar Alfredo sauce;1/2 cup grated Romano cheese;1/2 cup cream;1 teaspoon cayenne pepper, or more to taste;Salt and pepper to taste;1/4 cup chopped parsley",3
