,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
189,Risotto,"Risotto with Tomato, Corn and Basil",https://www.allrecipes.com/recipe/14073/risotto-with-tomato-corn-and-basil/,20 m,20 m,40 m,Original recipe yields 4 servings,395  cals,12.5 ,55.8,14.3 ,36 ,584 ,"2 1/2 cups water;2 cups milk;2 tablespoons butter;1 cup minced onion;1 clove garlic, minced;3/4 cup uncooked Arborio rice;3 tablespoons white wine;1 medium tomato - peeled, seeded and chopped;1 1/3 cups fresh corn kernels;1/2 cup grated Parmesan cheese;1/2 cup fresh basil leaves, cut into thin strips;1/2 teaspoon salt;ground black pepper to taste",4
190,Risotto,Risotto with Sun-Dried Tomatoes and Mozzarella,https://www.allrecipes.com/recipe/16649/risotto-with-sun-dried-tomatoes-and-mozzarella/,10 m,35 m,45 m,Original recipe yields 6 servings,429  cals,10.4 ,66.1,16.5 ,29 ,639 ,"5 1/2 cups vegetable stock;1/3 cup oil-packed sun-dried tomatoes;1 onion, chopped;2 cups Arborio rice;1 cup shredded mozzarella cheese;1 cup grated Parmesan cheese;1/4 cup chopped fresh basil;salt and pepper to taste",4
191,Risotto,Risotto with Chicken and Asparagus,https://www.allrecipes.com/recipe/109291/risotto-with-chicken-and-asparagus/,,,,,,,,,,,,0
192,Risotto,Very Easy Risotto,https://www.allrecipes.com/recipe/18340/very-easy-risotto/,10 m,30 m,40 m,Original recipe yields 6 servings,243  cals,7.8 ,34.3,8.1 ,21 ,284 ,2 tablespoons butter;2/3 cup sliced green onion;1 1/3 cups uncooked long-grain rice;4 cups water;1 teaspoon chicken bouillon granules;1/4 teaspoon ground black pepper;3/4 cup grated Parmesan cheese,2
193,Risotto,Slow Cooker Risotto,https://www.allrecipes.com/recipe/228033/slow-cooker-risotto/,10 m,2 h 15 m,2 h 25 m,Original recipe yields 6 servings,316  cals,11.9 ,42.3,7 ,8 ,525 ,"3 3/4 cups chicken broth;1 1/4 cups Arborio rice;1/4 cup olive oil;1/4 cup white wine;4 cloves garlic, minced;1 teaspoon dried onion flakes;1 teaspoon salt;1/4 teaspoon ground black pepper;2/3 cup shredded Parmesan cheese",1
194,Risotto,Broccoli Risotto with Cream and Lemon,https://www.allrecipes.com/recipe/166138/broccoli-risotto-with-cream-and-lemon/,,,,,,,,,,,,0
195,Risotto,Emerald Green Risotto,https://www.allrecipes.com/recipe/158733/emerald-green-risotto/,35 m,25 m,1 h,Original recipe yields 4 servings,368  cals,9.8 ,56.3,11.5 ,8 ,984 ,"2 tablespoons olive oil;1 onion, diced;1 clove garlic, crushed;1 cup Arborio rice;1 stalk celery, diced;1/3 cup dry white wine;4 cups boiling chicken stock;1 cup broccoli florets;3/4 cup sugar snap peas, halved;1 cup thinly sliced zucchini;1 cup fresh green beans, cut into 1 inch pieces;1/3 cup crumbled reduced-fat feta cheese;2 tablespoons chopped fresh parsley (optional)",2
196,Risotto,"Shrimp, Leek and Spinach Risotto",https://www.allrecipes.com/recipe/94374/shrimp-leek-and-spinach-risotto/,25 m,35 m,1 h,Original recipe yields 4 servings,714  cals,10.2 ,108,44.9 ,191 ,805 ,"2 tablespoons olive oil, divided;2 cups Arborio rice;4 cups boiling vegetable broth;2 teaspoons minced garlic;1 medium leek, chopped;1 fresh red chile pepper, chopped;1 pound medium shrimp, peeled and deveined;1/2 pound small scallops;1 (14 ounce) bag fresh spinach leaves;1/2 red bell pepper, finely chopped;1 teaspoon fresh ground pepper",2
197,Risotto,Roast Pumpkin and Feta Risotto,https://www.allrecipes.com/recipe/54604/roast-pumpkin-and-feta-risotto/,30 m,45 m,1 h 15 m,Original recipe yields 4 servings,615  cals,13.1 ,107,16.1 ,38 ,1524 ,"3 1/4 cups peeled, cubed pumpkin;1 tablespoon olive oil;4 cups vegetable broth;1/2 teaspoon chopped fresh garlic;1 onion, diced;1 cup baby spinach leaves;6 ounces feta cheese, cubed;salt and pepper;2 cups Arborio rice",5
198,Risotto,Andrew's Herb Risotto,https://www.allrecipes.com/recipe/18904/andrews-herb-risotto/,10 m,35 m,45 m,Original recipe yields 8 servings,289  cals,11.2 ,39.1,5.4 ,15 ,403 ,"3 tablespoons canola oil;3 tablespoons butter;1 cup trimmed, diced fennel bulb;1 red bell pepper, diced;1 yellow onion, diced;3 cloves garlic, minced;3 tablespoons chopped fresh mint, divided;3 tablespoons chopped fresh parsley, divided;2 tablespoons chopped fresh rosemary, divided;2 teaspoons grated lemon zest, divided;1/2 teaspoon ground coriander;1 1/2 cups uncooked Arborio rice;1/2 cup dry white wine;3 1/2 cups chicken stock;salt and pepper to taste;1 1/2 tablespoons fresh lemon juice;1/3 cup grated Parmesan cheese",3
